Company,TypeName,Inches,Ram,OpSys,Weight(kg),Price_euros,Cpu_brand,Cpu_type,Cpu_speed,Memory_capacity,Memory_type,Screen,Screen_touch,Screen_type
Asus,Ultrabook,15.6,16GB,Windows 10,1.8,1983.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,1.86,438.69,Intel,i3,2.0,500.0,HDD,1366x768,0,NaN
HP,Notebook,14.0,4GB,Windows 10,1.44,229.0,Intel,Dual,1.6,32.0,SSD,1366x768,0,NaN
Lenovo,Notebook,15.6,4GB,Windows 10,1.9,549.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
Asus,Gaming,17.3,12GB,Linux,3.0,949.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
Microsoft,Ultrabook,13.5,4GB,Windows 10 S,1.252,1089.0,Intel,i5,2.5,128.0,SSD,2256x1504,1,NaN
Dell,Ultrabook,13.3,8GB,Windows 10,1.4,955.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.2,870.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
MSI,Gaming,17.3,8GB,Windows 10,2.7,1095.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,Full HD
Acer,Notebook,14.0,8GB,Windows 10,2.1,389.0,Intel,i3,2.0,1000.0,HDD,1366x768,0,NaN
Asus,Gaming,15.6,8GB,Windows 10,2.2,949.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,No OS,2.2,519.0,Intel,i5,2.5,2000.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.02,855.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.2,530.0,Intel,i3,2.7,1000.0,HDD,1920x1080,0,Full HD
HP,Notebook,17.3,8GB,Windows 10,2.5,977.0,Intel,i5,1.6,128.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,15.6,8GB,Windows 10,1.88,1096.16,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Apple,Ultrabook,12.0,8GB,macOS,0.92,1510.0,Intel,i5,1.3,512.0,SSD,2304x1440,0,IPS Panel
HP,Notebook,14.0,8GB,Windows 10,1.63,860.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,Windows 10,2.2,399.0,AMD,A6,2.5,128.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.1,395.0,AMD,A9,3.0,1000.0,HDD,1366x768,0,NaN
Dell,Gaming,15.6,16GB,Windows 10,2.65,1349.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
HP,Ultrabook,15.6,8GB,Windows 10,1.83,699.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,8GB,Windows 10,1.96,598.99,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Asus,Gaming,15.6,16GB,Windows 10,2.2,1449.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
Dell,Ultrabook,13.3,8GB,Windows 10,1.21,1649.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Asus,Gaming,15.6,8GB,Windows 10,2.45,699.0,AMD,FX,3.0,1000.0,HDD,1920x1080,0,Full HD
Acer,Notebook,15.6,8GB,Windows 10,2.2,689.0,Intel,i7,1.8,1000.0,HDD,1920x1080,0,Full HD
HP,Notebook,13.3,16GB,Windows 10,1.49,1197.0,Intel,i7,1.8,512.0,SSD,1920x1080,0,Full HD
Dell,Gaming,15.6,8GB,Windows 10,2.65,1195.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Asus,Ultrabook,14.0,8GB,Windows 10,1.25,1049.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Acer,2 in 1 Convertible,13.3,8GB,Windows 10,1.5,847.0,Intel,i5,1.6,256.0,SSD,1920x1080,1,IPS Panel
Dell,Notebook,15.6,8GB,Linux,2.2,599.9,Intel,i7,2.7,1000.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,4GB,Linux,2.2,485.0,Intel,i3,2.0,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,6GB,Windows 10,2.0,577.0,Intel,i3,2.4,256.0,SSD,1920x1080,0,Full HD
HP,Gaming,15.6,12GB,Windows 10,2.62,1249.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,8GB,Windows 10,1.91,719.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,2.1,349.0,AMD,E,1.5,500.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Linux,2.2,647.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,Full HD
HP,Ultrabook,13.3,8GB,Windows 10,1.38,1119.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
Microsoft,Ultrabook,13.5,8GB,Windows 10 S,1.252,1340.0,Intel,i5,2.5,256.0,SSD,2256x1504,1,NaN
HP,Notebook,14.0,6GB,Windows 10,1.58,659.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,4GB,Windows 10,1.85,414.9,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Asus,Ultrabook,14.0,8GB,Windows 10,1.3,1193.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
MSI,Gaming,15.6,16GB,Windows 10,2.2,1299.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,14.0,8GB,Windows 10,1.58,1480.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
Asus,Ultrabook,15.6,16GB,Windows 10,1.5,1262.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,13.3,8GB,Windows 10,1.23,1379.0,Intel,i7,2.4,256.0,SSD,3200x1800,1,Quad HD+
Lenovo,2 in 1 Convertible,13.3,8GB,Windows 10,1.37,1399.0,Intel,i5,2.5,256.0,SSD,1920x1080,1,IPS Panel
HP,Notebook,14.0,4GB,Windows 10,1.63,722.0,Intel,i5,1.6,500.0,HDD,1366x768,0,IPS Panel
Dell,Ultrabook,13.3,8GB,Windows 10,1.21,1629.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
HP,2 in 1 Convertible,13.3,8GB,Windows 10,1.26,1398.99,Intel,i5,1.6,256.0,SSD,1920x1080,1,IPS Panel
HP,Notebook,14.0,8GB,Windows 10,1.63,1084.0,Intel,i7,1.8,512.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.16,1130.33,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Asus,Notebook,17.3,4GB,Windows 10,2.0,564.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Asus,Notebook,15.6,8GB,Windows 10,1.7,1118.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,6GB,Windows 10,2.1,479.0,Intel,i3,2.4,1000.0,HDD,1920x1080,1,IPS Panel
MSI,Gaming,15.6,16GB,Windows 10,1.8,2241.5,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,No OS,2.2,629.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,17.3,16GB,Windows 10,2.5,1271.0,Intel,i7,1.8,512.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.1,451.0,AMD,A9,3.0,256.0,SSD,1366x768,0,NaN
HP,Notebook,15.6,4GB,No OS,1.86,259.0,Intel,Dual,1.6,500.0,HDD,1366x768,0,NaN
HP,Notebook,14.0,8GB,Windows 10,1.63,812.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,Full HD
Asus,Notebook,14.0,4GB,Windows 10 S,1.65,277.99,AMD,E,1.5,64.0,SSD,1366x768,0,NaN
Dell,Notebook,17.3,16GB,Windows 10,2.8,1396.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,17.3,8GB,Windows 10,2.5,928.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.36,638.99,Intel,i5,2.5,1000.0,HDD,1366x768,0,NaN
Dell,Notebook,15.6,4GB,Windows 10,2.2,449.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Acer,Ultrabook,14.0,8GB,Windows 10,1.6,884.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,4GB,Windows 10,2.2,572.0,Intel,i3,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,2.05,598.0,Intel,i7,2.7,1000.0,HDD,1366x768,0,NaN
HP,Notebook,14.0,8GB,Windows 10,1.63,988.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,No OS,1.9,252.36,Intel,Dual,1.1,1000.0,HDD,1366x768,0,NaN
Asus,Gaming,17.3,8GB,Windows 10,3.0,938.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,No OS,2.2,499.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
HP,Notebook,13.3,4GB,Windows 10,1.32,699.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,17.3,4GB,Windows 10,3.0,655.0,Intel,i3,2.7,1000.0,HDD,1920x1080,0,IPS Panel
Lenovo,Notebook,14.0,8GB,Windows 10,1.75,1116.02,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Gaming,15.6,8GB,No OS,2.4,869.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Toshiba,Notebook,15.6,4GB,Windows 10,2.1,602.0,Intel,i5,2.3,500.0,HDD,1366x768,0,NaN
HP,Notebook,15.6,4GB,Windows 10,1.86,369.0,AMD,A6,2.5,256.0,SSD,1366x768,0,NaN
Asus,Ultrabook,14.0,8GB,Windows 10,1.25,1099.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
HP,Ultrabook,12.5,8GB,Windows 10,0.97,2014.0,Intel,M,1.2,512.0,SSD,3840x2160,1,IPS Panel
Asus,Notebook,15.6,4GB,Windows 10,2.0,344.0,Intel,Dual,1.1,1000.0,HDD,1920x1080,0,Full HD
MSI,Gaming,17.3,16GB,Windows 10,2.9,2029.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.1,447.0,Intel,i3,2.0,1000.0,HDD,1366x768,0,NaN
Dell,Gaming,15.6,16GB,Windows 10,2.56,1249.26,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
Dell,Gaming,15.6,8GB,Windows 10,2.62,899.0,Intel,i7,2.8,1000.0,Hybrid,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,Windows 10,1.9,498.0,Intel,i5,2.5,128.0,SSD,1366x768,0,NaN
MSI,Gaming,17.3,16GB,Windows 10,2.8,1890.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
HP,Ultrabook,14.0,4GB,Windows 10,1.48,1082.0,Intel,i5,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,6GB,Windows 10,1.91,619.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,14.0,4GB,Windows 10,1.74,629.0,Intel,i3,2.4,256.0,SSD,1920x1080,1,IPS Panel
Asus,2 in 1 Convertible,13.3,8GB,Windows 10,1.1,1315.0,Intel,i5,1.6,256.0,SSD,1920x1080,1,Full HD
Dell,2 in 1 Convertible,15.6,8GB,Windows 10,1.56,1049.0,Intel,i7,1.8,256.0,SSD,1920x1080,1,Full HD
Toshiba,Notebook,15.6,4GB,Windows 10,2.1,447.0,Intel,i3,2.2,500.0,HDD,1366x768,0,NaN
Asus,Notebook,15.6,4GB,Windows 10,2.03,403.0,AMD,A9,3.0,1000.0,HDD,1366x768,0,NaN
Acer,Notebook,17.3,4GB,Windows 10,3.0,805.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.13,728.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,16GB,Windows 10,2.5,1079.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,4GB,Windows 10,2.1,348.0,Intel,Dual,1.1,1000.0,HDD,1366x768,0,NaN
MSI,Gaming,15.6,16GB,Windows 10,2.4,1799.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,4GB,Windows 10,2.1,363.51,Intel,Quad,1.1,1000.0,HDD,1366x768,0,NaN
Dell,Gaming,15.6,8GB,Windows 10,2.56,1060.49,Intel,i7,2.8,128.0,SSD,1920x1080,0,Full HD
Acer,Notebook,17.3,8GB,Windows 10,3.0,854.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,13.3,4GB,Windows 10,1.49,754.0,Intel,i5,1.6,500.0,HDD,1920x1080,0,IPS Panel
Huawei,Ultrabook,13.0,8GB,Windows 10,1.05,1349.0,Intel,i5,2.5,256.0,SSD,2160x1440,0,IPS Panel
HP,Notebook,17.3,6GB,Windows 10,2.71,699.0,Intel,i5,2.5,2000.0,HDD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,4GB,No OS,2.2,309.0,AMD,A6,2.9,500.0,HDD,1366x768,0,NaN
Toshiba,Notebook,15.6,4GB,Windows 10,2.0,489.0,Intel,i3,2.4,500.0,HDD,1366x768,0,NaN
HP,Notebook,17.3,8GB,Windows 10,2.5,923.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.3,459.0,Intel,i3,2.4,1000.0,HDD,1366x768,0,NaN
Acer,Notebook,15.6,4GB,Windows 10,2.1,449.0,Intel,i3,2.0,128.0,SSD,1366x768,0,NaN
MSI,Gaming,18.4,32GB,Windows 10,4.4,2799.0,Intel,i7,2.9,512.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,1.9,813.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,Full HD
HP,2 in 1 Convertible,13.3,8GB,Windows 10,1.29,1499.0,Intel,i5,1.6,256.0,SSD,3840x2160,1,IPS Panel
Dell,Notebook,15.6,16GB,Linux,2.02,1049.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,13.3,8GB,Windows 10,1.23,1399.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,13.9,16GB,Windows 10,1.4,1849.0,Intel,i7,1.8,512.0,SSD,3840x2160,1,IPS Panel
Toshiba,Notebook,15.6,8GB,Windows 10,2.0,793.0,Intel,i5,2.5,128.0,SSD,1366x768,0,NaN
Xiaomi,Notebook,15.6,8GB,No OS,1.95,1199.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,17.3,16GB,Windows 10,2.77,1549.0,Intel,i7,1.8,512.0,SSD,1920x1080,1,Full HD
Dell,Notebook,15.6,16GB,Windows 10,2.06,2397.0,Intel,i7,2.8,512.0,SSD,3840x2160,1,4K Ultra HD
Lenovo,Gaming,15.6,8GB,No OS,2.4,779.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Acer,Ultrabook,13.3,8GB,Windows 10,1.12,989.0,Intel,i5,1.2,256.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,17.3,8GB,Windows 10,2.8,1085.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,14.0,16GB,Windows 10,1.42,2824.0,Intel,i7,2.7,1000.0,SSD,2560x1440,1,NaN
Vero,Notebook,14.0,4GB,Windows 10,1.3,260.0,Intel,Dual,1.1,32.0,Flash,1920x1080,0,IPS Panel
Xiaomi,Ultrabook,13.3,8GB,No OS,1.3,999.9,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,17.3,8GB,No OS,2.8,698.0,Intel,i5,1.6,256.0,SSD,1600x900,0,NaN
Dell,2 in 1 Convertible,13.3,8GB,Windows 10,1.62,839.0,Intel,i7,1.8,1000.0,HDD,1920x1080,1,IPS Panel
HP,Notebook,17.3,8GB,Windows 10,2.5,914.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,IPS Panel
HP,Notebook,13.3,8GB,Windows 10,1.49,959.0,Intel,i5,1.6,512.0,SSD,1920x1080,0,Full HD
HP,Gaming,17.3,16GB,Windows 10,3.35,1379.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,17.3,8GB,Windows 10,2.5,1045.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Gaming,15.6,16GB,Windows 10,2.65,1845.0,Intel,i7,2.8,512.0,SSD,3840x2160,0,IPS Panel
Lenovo,Notebook,15.6,4GB,Windows 10,2.1,493.0,Intel,i5,2.3,128.0,SSD,1366x768,0,NaN
Acer,Notebook,15.6,8GB,Windows 10,2.23,742.0,Intel,i7,2.7,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,16GB,Windows 10,3.2,1749.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,IPS Panel
Dell,Workstation,15.6,16GB,Windows 10,2.8,3055.0,Intel,E3,3.0,256.0,SSD,3840x2160,0,4K Ultra HD
Lenovo,Gaming,15.6,16GB,No OS,2.4,1398.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,6GB,Windows 10,2.3,439.0,Intel,i3,2.4,1000.0,HDD,1366x768,1,NaN
Dell,Ultrabook,13.3,8GB,Windows 10,1.21,1949.0,Intel,i7,1.8,256.0,SSD,3840x2160,1,IPS Panel
Dell,Ultrabook,13.3,8GB,Windows 10,1.2,1449.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,2.2,597.0,Intel,i5,2.5,256.0,SSD,1366x768,0,NaN
Acer,Notebook,15.6,8GB,Linux,2.4,779.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
Asus,Gaming,17.3,16GB,Windows 10,2.9,1407.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,No OS,2.1,349.0,Intel,i3,2.0,500.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,No OS,2.2,549.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Huawei,Ultrabook,13.0,8GB,Windows 10,1.05,1499.0,Intel,i7,2.7,512.0,SSD,2160x1440,0,IPS Panel
